sample_index,frame,time_s,people_count
1,0,0.0,5
2,8,0.27,4
3,16,0.53,4
4,24,0.8,4
5,32,1.07,5
6,40,1.33,5
7,48,1.6,5
8,56,1.87,5
9,64,2.14,5
10,72,2.4,6
11,80,2.67,7
12,88,2.94,8
13,96,3.2,9
14,104,3.47,9
15,112,3.74,10
16,120,4.0,8
17,128,4.27,10
18,136,4.54,11
19,144,4.8,9
20,152,5.07,7
21,160,5.34,7
22,168,5.61,8
23,176,5.87,7
24,184,6.14,7
25,192,6.41,7
26,200,6.67,7
27,208,6.94,7
28,216,7.21,8
29,224,7.47,8
30,232,7.74,8
31,240,8.01,7
32,248,8.27,6
33,256,8.54,6
34,264,8.81,6
35,272,9.08,6
36,280,9.34,6
37,288,9.61,6
38,296,9.88,5
39,304,10.14,6
40,312,10.41,6
41,320,10.68,5
42,328,10.94,5
43,336,11.21,5
44,344,11.48,7
45,352,11.75,7
46,360,12.01,9
47,368,12.28,7
48,376,12.55,8
49,384,12.81,9
50,392,13.08,10
51,401,13.38,8
52,409,13.65,10
53,417,13.91,10
54,425,14.18,11
55,433,14.45,6
56,441,14.71,8
57,449,14.98,8
58,457,15.25,8
59,465,15.52,9
60,473,15.78,8
61,481,16.05,9
62,489,16.32,9
63,497,16.58,8
64,505,16.85,8
65,513,17.12,9
66,521,17.38,9
67,529,17.65,9
68,537,17.92,8
69,545,18.18,7
70,553,18.45,8
71,561,18.72,7
72,569,18.99,8
73,577,19.25,9
74,585,19.52,9
75,593,19.79,7
76,601,20.05,10
77,609,20.32,9
78,617,20.59,7
79,625,20.85,10
80,633,21.12,9
81,641,21.39,7
82,649,21.65,7
83,657,21.92,7
84,665,22.19,9
85,673,22.46,7
86,681,22.72,6
87,689,22.99,6
88,697,23.26,6
89,705,23.52,4
90,713,23.79,7
91,721,24.06,7
92,729,24.32,6
93,737,24.59,7
94,745,24.86,8
95,753,25.13,6
96,761,25.39,5
97,769,25.66,7
98,777,25.93,7
99,785,26.19,8
100,794,26.49,8
